tag,mode,target,draft,tp,K,F,N,alpha,phit,target_fits,draft_fits,target_step_ms,target_verify_ms,draft_step_ms,draft_total_ms,prespec_ms,e2e_ms,avg_tokens,avg_rounds,miss_rate,throughput_tok_s
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,1,128,0.9000,0.9500,1,1,0.0000,18.7525,3.2378,12.9510,12.9510,620.2675,129.5333,31.2667,0.0373,208.8347
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,2,128,0.9000,0.9500,1,1,0.0000,18.7574,3.2390,12.9561,13.9190,621.2863,129.5333,31.2667,0.0373,208.4922
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,3,128,0.9000,0.9500,1,1,0.0000,18.7304,3.2462,12.9847,14.0647,620.6116,129.5333,31.2667,0.0373,208.7189
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,4,128,0.9000,0.9500,1,1,0.0000,18.7609,3.2399,12.9595,13.9932,620.5619,129.5333,31.2667,0.0373,208.7356
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,6,128,0.9000,0.9500,1,1,0.0000,18.7681,3.2384,12.9535,14.0775,621.2498,129.5333,31.2667,0.0373,208.5044
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,8,128,0.9000,0.9500,1,1,0.0000,18.7373,3.2422,12.9689,14.1076,620.2178,129.5333,31.2667,0.0373,208.8514
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,12,128,0.9000,0.9500,1,1,0.0000,18.7488,3.2360,12.9442,14.3953,621.1019,129.5333,31.2667,0.0373,208.5541
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,16,128,0.9000,0.9500,1,1,0.0000,18.7346,3.2435,12.9739,14.5721,620.7776,129.5333,31.2667,0.0373,208.6631
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,32,128,0.9000,0.9500,1,1,0.0000,18.7828,3.2384,12.9536,14.8350,621.2194,129.5333,31.2667,0.0373,208.5147
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,64,128,0.9000,0.9500,1,1,0.0000,18.7345,3.2452,12.9809,16.1057,621.9730,129.5333,31.2667,0.0373,208.2620
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,128,128,0.9000,0.9500,1,1,0.0000,18.7401,3.2433,12.9731,20.8462,697.3137,129.5333,31.2667,0.0373,185.7605
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,256,128,0.9000,0.9500,1,1,0.0000,18.7392,3.2459,12.9838,33.3510,1090.5527,129.5333,31.2667,0.0373,118.7777
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,512,128,0.9000,0.9500,1,1,0.0000,18.7479,3.2423,12.9690,48.2554,1594.9652,129.5333,31.2667,0.0373,81.2139
